Id,unidad,comentarios,fecha,fechareg,userreg,fechamod,usermod,IdModulo
1,1031,RELLENO DE ACEITE,05/05/2017,10:02.2,f490eddd-061c-4b64-bfd3-26ef469b9263,23:42.9,f490eddd-061c-4b64-bfd3-26ef469b9263,CA-09:49:14-1031
2,1061,CAMBIO DE ACEITE Y FILTROS,05/05/2017,27:33.1,f490eddd-061c-4b64-bfd3-26ef469b9263,23:50.0,f490eddd-061c-4b64-bfd3-26ef469b9263,CA-09:34:03-1061
3,1033,SE PUSIERON 2 SOQUETERAS,08/05/2017,02:28.7,ef281d7a-57db-428e-a186-f1c54d48042c,26:20.1,f490eddd-061c-4b64-bfd3-26ef469b9263,NULL
4,1009,SE HIZO UNA TA LACHA POSICI‡N 7,08/05/2017,12:03.6,ef281d7a-57db-428e-a186-f1c54d48042c,23:58.4,f490eddd-061c-4b64-bfd3-26ef469b9263,NULL
5,1060,SE LE CAMBIO UN PLAFON DE STOP,08/05/2017,13:16.5,ef281d7a-57db-428e-a186-f1c54d48042c,24:01.8,f490eddd-061c-4b64-bfd3-26ef469b9263,NULL
6,1062,SE CAMBIO UN FUSIBLE PARA LUCES DE CAJA,08/05/2017,14:03.1,ef281d7a-57db-428e-a186-f1c54d48042c,24:06.4,f490eddd-061c-4b64-bfd3-26ef469b9263,NULL
7,1081,SE LE CAMBIO 1 LUZ DE SALCHICHA.,08/05/2017,15:27.2,ef281d7a-57db-428e-a186-f1c54d48042c,22:55.9,f490eddd-061c-4b64-bfd3-26ef469b9263,NULL
8,1061,SE LE CAMBIO FUSIBLE DE LUCES DE LA CAJA.,08/05/2017,52:53.8,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CA-15:52:53-1061
9,1018,SE LE CAMBIO BASE PARA CON CABO LADO DERECHO,08/05/2017,17:25.5,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CA-16:17:25-1018
10,1009,CAMBIO DE ACEITE Y FILTROS.,08/05/2017,46:09.5,ef281d7a-57db-428e-a186-f1c54d48042c,NULL,NULL,CA-16:46:09-1009
